,label,tweet,joy,tentative,confident,analytical,sadness,fear,anger
0,1F60D,When girls film themselves doing their makeup and take a bite out of a burger half way through like I wish I was as cute and quirky as you,0.508536,0.0,0.0,0.0,0.0,0.0,0.0
1,1F602,Gas station clerk just gave me a pop quiz about my ID. Mind you my photo is over ten years old and my address is outdated. It went well.,0.0,0.908434,0.0,0.0,0.0,0.0,0.0
2,2764,I'm thankful for everything that I have and Everything that I've lost because I'm the best version of myself I have ever been in a while,0.8593139999999999,0.0,0.0,0.0,0.0,0.0,0.0
3,1F618,Good music. A couple of calls where there's network. Fresh air where it's safe to stop for a minute. Snacks. arrive alive,0.864819,0.0,0.0,0.0,0.0,0.0,0.0
4,1F62D,finishing at least 1 triathlon is one of my bucket list but watching triathletes swimming open water facing all them wave gives me anxiety,0.0,0.0,0.543112,0.0,0.0,0.0,0.0
5,1F44D,from this last bet I posted I will be fully tracked with a pl available to whoever wants it and will be posted the 1st of each month,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1F60A,Bought this really cute rainbow macrame wall art I intend to use as my door hanger for June and then permanent art the rest of the year.,0.808363,0.0,0.0,0.796903,0.0,0.0,0.0
7,1F609,Also don't forget to vote to see what character is getting a combo video on my YouTube channel. The poll is in my pinned tweet.,0.0,0.0,0.0,0.662643,0.0,0.0,0.0
8,1F605,Oh cause I thought the dirty bitch that be letting the nigga with the dirty fingernails finger her and keep giving her infections said some,0.0,0.594263,0.0,0.0,0.0,0.0,0.0
9,1F614,I keep forgetting to turn nights out back on after I delete twitter so my screenshots are gonna keep switching from dim to dark mode sorry,0.0,0.0,0.0,0.0,0.574571,0.0,0.0
10,1F64F,Knowing there were tremors in Lima but that your family is okay is such a relief I will never experience that fear of a possible..,0.0,0.0,0.0,0.0,0.0,0.797616,0.0
11,1F61C,come back to your pretty little life full of bullshit and lies and go on spreading rumors about me that is exactly what you deserve,0.0,0.0,0.0,0.0,0.0,0.0,0.569932
12,1F60F,I wanna do a FT call with somebody I wanna see if one of you can really make this dick cum while I watch you play with wit that pussy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1F44F,Yet we are going to my favorite restaurant tomorrow it is not far away from where i live and there is no corona cases detected there yet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1F44C,Changing from cold to hot weather profile pic. Those feels when I care more about updating my void shouting twitter then Facebook,0.0,0.8841379999999999,0.0,0.72969,0.0,0.0,0.0
